Date,Open,High,Low,Close
03/06/2020,"1.07975%","1.07975%","1.07975%","1.07975%"
03/05/2020,"1.08213%","1.08213%","1.08213%","1.08213%"
03/03/2020,"1.57563%","1.57563%","1.57563%","1.57563%"
03/02/2020,"1.57463%","1.57463%","1.57463%","1.57463%"
02/28/2020,"1.56775%","1.56775%","1.56775%","1.56775%"
02/27/2020,"1.57400%","1.57400%","1.57400%","1.57400%"
02/26/2020,"1.57150%","1.57150%","1.57150%","1.57150%"
02/25/2020,"1.56900%","1.56900%","1.56900%","1.56900%"
02/24/2020,"1.57550%","1.57550%","1.57550%","1.57550%"
02/21/2020,"1.57025%","1.57025%","1.57025%","1.57025%"
02/20/2020,"1.56713%","1.56713%","1.56713%","1.56713%"
02/19/2020,"1.57688%","1.57688%","1.57688%","1.57688%"
02/18/2020,"1.56338%","1.56338%","1.56338%","1.56338%"
02/14/2020,"1.57613%","1.57613%","1.57613%","1.57613%"
02/13/2020,"1.57338%","1.57338%","1.57338%","1.57338%"
02/12/2020,"1.57413%","1.57413%","1.57413%","1.57413%"
02/11/2020,"1.57125%","1.57125%","1.57125%","1.57125%"
02/10/2020,"1.57463%","1.57463%","1.57463%","1.57463%"
02/07/2020,"1.57738%","1.57738%","1.57738%","1.57738%"
02/06/2020,"1.57200%","1.57200%","1.57200%","1.57200%"
02/05/2020,"1.57513%","1.57513%","1.57513%","1.57513%"
02/04/2020,"1.56550%","1.56550%","1.56550%","1.56550%"
02/03/2020,"1.56800%","1.56800%","1.56800%","1.56800%"
01/31/2020,"1.56875%","1.56875%","1.56875%","1.56875%"
01/30/2020,"1.54388%","1.54388%","1.54388%","1.54388%"
01/29/2020,"1.52963%","1.52963%","1.52963%","1.52963%"
01/28/2020,"1.53300%","1.53300%","1.53300%","1.53300%"
01/27/2020,"1.53175%","1.53175%","1.53175%","1.53175%"
01/24/2020,"1.53188%","1.53188%","1.53188%","1.53188%"
01/23/2020,"1.53163%","1.53163%","1.53163%","1.53163%"
01/22/2020,"1.53263%","1.53263%","1.53263%","1.53263%"
01/21/2020,"1.53925%","1.53925%","1.53925%","1.53925%"
01/17/2020,"1.53113%","1.53113%","1.53113%","1.53113%"
01/16/2020,"1.53563%","1.53563%","1.53563%","1.53563%"
01/15/2020,"1.52838%","1.52838%","1.52838%","1.52838%"
01/14/2020,"1.53125%","1.53125%","1.53125%","1.53125%"
01/13/2020,"1.53513%","1.53513%","1.53513%","1.53513%"
01/10/2020,"1.53313%","1.53313%","1.53313%","1.53313%"
01/09/2020,"1.52700%","1.52700%","1.52700%","1.52700%"
01/08/2020,"1.53250%","1.53250%","1.53250%","1.53250%"
01/07/2020,"1.52788%","1.52788%","1.52788%","1.52788%"
01/06/2020,"1.53700%","1.53700%","1.53700%","1.53700%"
01/03/2020,"1.53675%","1.53675%","1.53675%","1.53675%"
01/02/2020,"1.54050%","1.54050%","1.54050%","1.54050%"
