Date,Close
02/15/2019,3241.25
02/14/2019,3182.66
02/13/2019,3202.37
2/12/19,3190.75
2/11/19,3165.61
2/8/19,3135.62
2/7/19,3150.76
2/6/19,3212.75
2/5/19,3215.04
2/4/19,3165.20
2/1/19,3171.12
01/31/2019,3159.43
01/30/2019,3161.74
01/29/2019,3153.42
01/28/2019,3137.27
01/25/2019,3163.24
01/24/2019,3126.31
01/23/2019,3112.13
01/22/2019,3112.80
01/21/2019,3125.07
01/18/2019,3134.92
01/17/2019,3069.35
01/16/2019,3077.22
01/15/2019,3068.05
01/14/2019,3055.18
1/11/19,3070.04
1/10/19,3075.73
1/9/19,3070.24
1/8/19,3054.94
1/7/19,3033.64
1/4/19,3041.85
1/3/19,2954.66
1/2/19,2993.18
12/31/2018,3001.42
12/28/2018,2986.53
12/27/2018,2937.36
12/24/2018,2973.78
12/21/2018,3000.61
12/20/2018,3000.06
12/19/2018,3051.38
12/18/2018,3040.13
12/17/2018,3063.65
12/14/2018,3092.60
12/13/2018,3112.17
12/12/18,3107.97
12/11/18,3055.32
12/10/18,3016.99
12/7/18,3058.53
12/6/18,3045.94
12/5/18,3150.27
12/4/18,3189.25
12/3/18,3214.99
11/30/2018,3173.13
11/29/2018,3174.16
11/28/2018,3168.29
11/27/2018,3166.42
11/26/2018,3172.71
11/23/2018,3137.21
11/22/2018,3126.67
11/21/2018,3153.91
11/20/2018,3116.07
11/19/2018,3160.33
11/16/2018,3180.74
11/15/2018,3190.31
11/14/2018,3205.36
11/13/2018,3224.82
11/12/18,3194.08
11/9/18,3229.49
11/8/18,3237.60
11/7/18,3246.16
11/6/18,3207.42
11/5/18,3217.37
11/2/18,3214.41
11/1/18,3204.21
10/31/2018,3197.51
10/30/2018,3147.13
10/29/2018,3154.93
10/26/2018,3134.89
10/25/2018,3164.40
10/24/2018,3130.33
10/23/2018,3140.94
10/22/2018,3190.09
10/19/2018,3210.82
10/18/2018,3211.59
10/17/2018,3243.08
10/16/2018,3257.34
10/15/2018,3210.37
10/12/18,3194.41
10/11/18,3209.19
10/10/18,3266.90
10/9/18,3321.79
10/8/18,3309.72
10/5/18,3345.51
10/4/18,3375.08
10/3/18,3405.48
10/2/18,3388.99
10/1/18,3414.16
09/28/2018,3399.20
09/27/2018,3449.79
09/26/2018,3433.15
09/25/2018,3419.78
09/24/2018,3410.44
09/21/2018,3430.81
09/20/2018,3403.12
09/19/2018,3368.56
09/18/2018,3358.46
09/17/2018,3346.11
09/14/2018,3344.63
09/13/2018,3333.68
9/12/18,3326.60
9/11/18,3311.66
9/10/18,3309.28
9/7/18,3293.36
9/6/18,3295.95
9/5/18,3315.62
9/4/18,3359.36
9/3/18,3394.99
08/31/2018,3392.90
08/30/2018,3430.99
08/29/2018,3456.13
08/28/2018,3447.57
08/27/2018,3456.01
08/24/2018,3427.44
08/23/2018,3419.26
08/22/2018,3420.18
08/21/2018,3411.66
08/20/2018,3393.67
08/17/2018,3372.94
08/16/2018,3377.56
08/15/2018,3359.08
08/14/2018,3409.44
08/13/2018,3409.68
8/10/18,3426.28
8/9/18,3494.13
8/8/18,3493.60
8/7/18,3504.37
8/6/18,3483.30
8/3/18,3482.40
8/2/18,3469.21
8/1/18,3509.23
07/31/2018,3525.49
07/30/2018,3512.31
07/27/2018,3527.18
07/26/2018,3509.26
07/25/2018,3468.45
07/24/2018,3483.31
07/23/2018,3454.05
07/20/2018,3460.03
07/19/2018,3471.64
07/18/2018,3485.08
07/17/2018,3457.50
07/16/2018,3449.08
07/13/2018,3454.54
7/12/18,3445.49
7/11/18,3422.35
7/10/18,3473.31
7/9/18,3460.44
7/6/18,3448.49
7/5/18,3440.92
7/4/18,3412.03
7/3/18,3406.34
7/2/18,3372.21
06/29/2018,3395.60
06/28/2018,3365.52
06/27/2018,3397.13
06/26/2018,3368.72
06/25/2018,3369.21
06/22/2018,3441.60
06/21/2018,3403.51
06/20/2018,3439.60
06/19/2018,3435.30
06/18/2018,3466.65
06/15/2018,3505.02
06/14/2018,3527.11
06/13/2018,3479.56
6/12/18,3475.58
6/11/18,3480.22
6/8/18,3447.30
6/7/18,3459.77
6/6/18,3460.82
6/5/18,3456.79
6/4/18,3469.57
6/1/18,3453.54
05/31/2018,3406.65
05/30/2018,3441.19
05/29/2018,3428.14
05/28/2018,3482.64
05/25/2018,3515.36
05/24/2018,3521.76
05/23/2018,3541.82
05/22/2018,3587.25
05/21/2018,3572.57
05/18/2018,3573.76
05/17/2018,3592.18
05/16/2018,3562.85
05/15/2018,3564.29
05/14/2018,3565.74
5/11/18,3565.52
5/10/18,3569.71
5/9/18,3569.74
5/8/18,3557.88
5/7/18,3564.19
5/4/18,3550.59
5/3/18,3529.12
5/2/18,3553.79
5/1/18,3536.26
04/30/2018,3536.52
04/27/2018,3518.78
04/26/2018,3506.03
04/25/2018,3485.83
04/24/2018,3510.88
04/23/2018,3513.06
04/20/2018,3494.20
04/19/2018,3486.60
04/18/2018,3490.89
04/17/2018,3477.91
04/16/2018,3441.04
04/13/2018,3448.00
4/12/18,3443.97
4/11/18,3419.71
4/10/18,3438.78
4/9/18,3414.85
4/6/18,3408.10
4/5/18,3429.95
4/4/18,3340.35
4/3/18,3346.93
03/29/2018,3361.50
03/28/2018,3331.25
03/27/2018,3316.95
03/26/2018,3278.72
03/23/2018,3298.07
03/22/2018,3348.19
03/21/2018,3401.04
03/20/2018,3412.08
03/19/2018,3394.79
03/16/2018,3437.40
03/15/2018,3414.13
03/14/2018,3390.98
03/13/2018,3397.35
3/12/18,3429.48
3/9/18,3420.54
3/8/18,3413.28
3/7/18,3377.36
3/6/18,3357.86
3/5/18,3355.32
3/2/18,3324.75
3/1/18,3399.16
02/28/2018,3438.96
02/27/2018,3458.03
02/26/2018,3463.18
02/23/2018,3441.46
02/22/2018,3431.99
02/21/2018,3430.16
02/20/2018,3435.08
02/19/2018,3407.79
02/16/2018,3426.80
02/15/2018,3389.63
02/14/2018,3369.83
02/13/2018,3340.93
2/12/18,3368.25
2/9/18,3325.99
2/8/18,3377.30
